"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2025","104.30","105.62","105.77","104.26","","-1.36%"
"04/03/2025","105.74","106.56","106.65","105.53","","-0.94%"
"03/03/2025","106.75","107.56","107.56","106.47","","-0.81%"
"28/02/2025","107.61","107.25","107.66","107.18","","0.35%"
"27/02/2025","107.24","106.53","107.35","106.52","","0.78%"
"26/02/2025","106.42","106.17","106.65","106.16","","0.10%"
"25/02/2025","106.31","106.77","106.79","106.19","","-0.27%"
"24/02/2025","106.60","106.64","106.75","106.13","","-0.02%"
"21/02/2025","106.61","106.46","106.75","106.38","","0.23%"
"20/02/2025","106.37","107.12","107.15","106.33","","-0.75%"
"19/02/2025","107.17","107.03","107.38","106.88","","0.11%"
"18/02/2025","107.05","106.82","107.12","106.81","","0.45%"
"17/02/2025","106.57","106.79","106.90","106.57","","-0.13%"
"14/02/2025","106.71","107.12","107.18","106.57","","-0.56%"
"13/02/2025","107.31","107.92","108.00","107.03","","-0.58%"
"12/02/2025","107.94","108.01","108.52","107.63","","-0.02%"
"11/02/2025","107.96","108.34","108.46","107.78","","-0.33%"
"10/02/2025","108.32","108.10","108.44","108.09","","0.26%"
"07/02/2025","108.04","107.70","108.32","107.52","","0.33%"
"06/02/2025","107.69","107.62","108.10","107.54","","0.10%"
"05/02/2025","107.58","108.05","108.05","107.30","","-0.35%"
"04/02/2025","107.96","108.68","109.04","107.92","","-0.95%"
"03/02/2025","108.99","108.50","109.88","108.34","","0.57%"
"31/01/2025","108.37","108.16","108.57","107.79","","0.53%"
"30/01/2025","107.80","107.86","108.24","107.50","","-0.19%"
"29/01/2025","108.00","107.89","108.29","107.75","","0.12%"
"28/01/2025","107.87","107.71","108.05","107.69","","0.49%"
"27/01/2025","107.34","107.46","107.81","106.97","","-0.09%"
"24/01/2025","107.44","108.09","108.19","107.22","","-0.56%"
"23/01/2025","108.05","108.25","108.51","107.92","","-0.11%"
"22/01/2025","108.17","107.99","108.28","107.75","","0.10%"
"21/01/2025","108.06","107.98","108.79","107.92","","-1.18%"
"20/01/2025","109.35","109.40","109.47","107.92","","0.00%"
"17/01/2025","109.35","108.93","109.42","108.83","","0.36%"
"16/01/2025","108.96","109.07","109.38","108.83","","-0.12%"
"15/01/2025","109.09","109.23","109.38","108.60","","-0.17%"
"14/01/2025","109.27","109.57","109.76","109.18","","-0.62%"
"13/01/2025","109.96","109.64","110.18","109.35","","0.28%"
"10/01/2025","109.65","109.23","109.97","109.08","","0.43%"
"09/01/2025","109.18","109.08","109.38","108.94","","0.08%"
"08/01/2025","109.09","108.62","109.38","108.55","","0.50%"
"07/01/2025","108.54","108.34","108.70","107.85","","0.26%"
"06/01/2025","108.26","108.92","109.07","107.75","","-0.64%"
"03/01/2025","108.95","109.20","109.22","108.90","","-0.40%"
"02/01/2025","109.39","108.53","109.53","108.27","","0.84%"
"31/12/2024","108.49","108.09","108.58","107.87","","0.33%"
"30/12/2024","108.13","108.01","108.38","107.74","","0.12%"
"27/12/2024","108.00","108.08","108.20","107.87","","-0.12%"
"26/12/2024","108.13","108.17","108.30","108.03","","-0.07%"
"24/12/2024","108.20","108.16","108.30","107.92","","0.15%"
"23/12/2024","108.04","107.82","108.28","107.68","","0.39%"
"20/12/2024","107.62","108.48","108.54","107.59","","-0.73%"
"19/12/2024","108.41","108.10","108.49","107.82","","0.35%"
"18/12/2024","108.03","106.93","108.27","106.82","","1.00%"
"17/12/2024","106.96","106.82","107.08","106.70","","0.09%"
"16/12/2024","106.86","106.94","107.17","106.75","","-0.14%"
"13/12/2024","107.00","106.97","107.19","106.72","","0.04%"
"12/12/2024","106.96","106.57","107.04","106.35","","0.23%"
"11/12/2024","106.71","106.37","106.81","106.27","","0.29%"
"10/12/2024","106.40","106.18","106.64","106.04","","0.24%"
"09/12/2024","106.14","105.97","106.21","105.80","","0.08%"
"06/12/2024","106.06","105.79","106.16","105.42","","0.32%"
"05/12/2024","105.71","106.34","106.37","105.70","","-0.57%"
"04/12/2024","106.32","106.43","106.72","106.09","","-0.04%"
"03/12/2024","106.36","106.48","106.60","106.09","","-0.08%"
"02/12/2024","106.45","105.83","106.73","105.82","","0.67%"
"29/11/2024","105.74","105.95","106.13","105.61","","-0.38%"
"28/11/2024","106.14","106.16","106.42","106.10","","0.05%"
"27/11/2024","106.08","106.82","106.92","105.86","","-0.87%"
"26/11/2024","107.01","107.49","107.50","106.49","","0.18%"
"25/11/2024","106.82","107.49","107.49","106.58","","-0.69%"
"22/11/2024","107.55","107.06","108.07","106.92","","0.54%"
"21/11/2024","106.97","106.59","107.16","106.46","","0.27%"
"20/11/2024","106.68","106.12","106.92","106.11","","0.45%"
"19/11/2024","106.21","106.26","106.63","106.11","","-0.06%"
"18/11/2024","106.28","106.67","106.81","106.13","","-0.39%"
"15/11/2024","106.69","106.90","106.96","106.33","","0.01%"
"14/11/2024","106.67","106.50","107.06","106.38","","0.18%"
"13/11/2024","106.48","106.02","106.54","105.72","","0.43%"
"12/11/2024","106.02","105.49","106.18","105.49","","0.46%"
"11/11/2024","105.54","104.95","105.71","104.93","","0.52%"
"08/11/2024","105.00","104.45","105.21","104.34","","0.47%"
"07/11/2024","104.51","105.15","105.25","104.19","","-0.55%"
"06/11/2024","105.09","103.70","105.44","103.70","","1.61%"
"05/11/2024","103.42","103.91","103.96","103.37","","-0.44%"
